"DATE","PROTOCOL","VOLUME_USD","CUM_VOLUME_USD"
"2024-04-08 00:00:00.000","cellana","75685321.0394428","192778668.804499"
"2024-04-08 00:00:00.000","liquidswap","66589300.2243153","499908824.810591"
"2024-04-08 00:00:00.000","sushi","10116346.5042038","89905399.693041"
"2024-04-01 00:00:00.000","hippo","19830390.2568405","275930298.852069"
"2024-04-01 00:00:00.000","pancake","16507396.4613176","214117525.877606"
"2024-04-01 00:00:00.000","animeswap","18660.475560469","297289.260451588"
"2024-04-01 00:00:00.000","thala","27328849.8523013","288352700.752448"
"2024-04-01 00:00:00.000","sushi","6996731.57541447","79789053.1888373"
"2024-04-01 00:00:00.000","liquidswap","58811544.4553467","433319524.586276"
"2024-04-01 00:00:00.000","batswap","338516.733923436","6646929.34342156"
"2024-04-01 00:00:00.000","cetus","48107.637322365","637467.467721716"
"2024-04-01 00:00:00.000","auxexchange","65999.124624202","1031973.8193262"
"2024-04-01 00:00:00.000","cellana","52370302.9024093","117093347.765056"
"2024-03-25 00:00:00.000","auxexchange","82862.036347403","965974.694701995"
"2024-03-25 00:00:00.000","liquidswap","61613650.0912644","374507980.130929"
"2024-03-25 00:00:00.000","sushi","7188211.69922981","72792321.6134228"
"2024-03-25 00:00:00.000","thala","36519705.3691079","261023850.900147"
"2024-03-25 00:00:00.000","cetus","60747.644313116","589359.830399351"
"2024-03-25 00:00:00.000","animeswap","18990.639732734","278628.784891119"
"2024-03-25 00:00:00.000","batswap","1410979.29312265","6308412.60949812"
"2024-03-25 00:00:00.000","pancake","22641004.1427531","197610129.416289"
"2024-03-25 00:00:00.000","hippo","25275381.0541235","256099908.595228"
"2024-03-25 00:00:00.000","cellana","30789430.9258159","64723044.8626466"
"2024-03-18 00:00:00.000","auxexchange","127719.324645967","883112.658354593"
"2024-03-18 00:00:00.000","animeswap","36829.699533848","259638.145158385"
"2024-03-18 00:00:00.000","pancake","42574725.559714","174969125.273535"
"2024-03-18 00:00:00.000","thala","63539424.6324954","224504145.531039"
"2024-03-18 00:00:00.000","liquidswap","83048949.1373215","312894330.039665"
"2024-03-18 00:00:00.000","batswap","158351.646277504","4897433.31637547"
"2024-03-18 00:00:00.000","sushi","18134617.1047408","65604109.914193"
"2024-03-18 00:00:00.000","cetus","124863.411265489","528612.186086236"
"2024-03-18 00:00:00.000","cellana","18894089.0907071","33933613.9368307"
"2024-03-18 00:00:00.000","hippo","39889366.152555","230824527.541104"
"2024-03-11 00:00:00.000","cetus","86630.370650127","403748.774820746"
"2024-03-11 00:00:00.000","liquidswap","67391513.7014369","229845380.902343"
"2024-03-11 00:00:00.000","cellana","11733538.3448782","15039524.8461237"
"2024-03-11 00:00:00.000","hippo","34979808.2797011","190935161.388549"
"2024-03-11 00:00:00.000","auxexchange","115721.270859464","755393.333708626"
"2024-03-11 00:00:00.000","batswap","246032.393490702","4739081.67009797"
"2024-03-11 00:00:00.000","animeswap","30745.955460846","222808.445624537"
"2024-03-11 00:00:00.000","pancake","58203250.9214106","132394399.713821"
"2024-03-11 00:00:00.000","thala","41627124.8455276","160964720.898544"
"2024-03-11 00:00:00.000","sushi","12274087.9887032","47469492.8094521"
"2024-03-04 00:00:00.000","liquidswap","42161722.0814025","162453867.200906"
"2024-03-04 00:00:00.000","auxexchange","82888.86781355","639672.062849163"
"2024-03-04 00:00:00.000","hippo","28364135.8696927","155955353.108848"
"2024-03-04 00:00:00.000","cellana","2468059.77646131","3305986.50124547"
"2024-03-04 00:00:00.000","thala","22251334.0918329","119337596.053016"
"2024-03-04 00:00:00.000","batswap","201707.630453984","4493049.27660727"
"2024-03-04 00:00:00.000","sushi","11537535.6362364","35195404.8207489"
"2024-03-04 00:00:00.000","animeswap","40060.456402624","192062.490163691"
"2024-03-04 00:00:00.000","cetus","87021.689904042","317118.404170619"
"2024-03-04 00:00:00.000","pancake","18488407.7374","74191148.7924108"
"2024-02-26 00:00:00.000","hippo","34208429.3518153","127591217.239156"
"2024-02-26 00:00:00.000","cellana","837926.724784159","837926.724784159"
"2024-02-26 00:00:00.000","thala","22054774.896894","97086261.9611834"
"2024-02-26 00:00:00.000","animeswap","24603.038689607","152002.033761067"
"2024-02-26 00:00:00.000","liquidswap","30654481.6458658","120292145.119504"
"2024-02-26 00:00:00.000","cetus","53627.029630563","230096.714266577"
"2024-02-26 00:00:00.000","sushi","8073122.69822663","23657869.1845126"
"2024-02-26 00:00:00.000","auxexchange","93853.607726526","556783.195035612"
