SWAP_DATE,PLATFORM,TOTAL_SWAPS,UNIQUE_SWAPPERS,TOTAL_AMOUNT_IN,TOTAL_AMOUNT_OUT,UNIQUE_TOKENS_IN,UNIQUE_TOKENS_OUT,AVG_SWAPS_PER_USER,IMPLIED_FEE_PERCENTAGE
2024-08-22 00:00:00.000,liquidswap,16602,2757,150326562007828670,150115232951673820,49,58,6.021763,0.001406
2024-08-22 00:00:00.000,pancake,5874,2386,138611907339782290,1968187227815822,42,34,2.461861,0.985801
2024-08-22 00:00:00.000,hippo,3549,871,611819269096348,593253638102897,32,29,4.074627,0.030345
2024-08-22 00:00:00.000,sushi,1471,473,2214554913093,2709834345091,10,7,3.109937,-0.223647
2024-08-22 00:00:00.000,auxexchange,223,139,402170465930,590989777018,12,10,1.604317,-0.469501
2024-08-22 00:00:00.000,cetus,206,15,5680575416,8142314019,9,9,13.733333,-0.433361
2024-08-22 00:00:00.000,animeswap,166,95,5590130910969,231770429097,17,12,1.747368,0.958539
2024-08-22 00:00:00.000,batswap,38,14,1767602015255822,906043714295801,11,6,2.714286,0.487416
2024-08-21 00:00:00.000,cellana,23892,2095,7463379257000927,7471192849993139,17,17,11.404296,-0.001047
2024-08-21 00:00:00.000,liquidswap,22993,2908,137718894849023230,131017090981187570,55,56,7.906809,0.048663
2024-08-21 00:00:00.000,thala,19205,676,586746881254788,594945659935386,19,18,28.409763,-0.013973
2024-08-21 00:00:00.000,pancake,5963,1115,978533983067377400,2927644524698265,44,38,5.347982,0.997008
2024-08-21 00:00:00.000,hippo,4898,908,622877731335833,674584827787941,31,30,5.394273,-0.083013
2024-08-21 00:00:00.000,sushi,1696,248,4017701521641,4908806035825,9,6,6.83871,-0.221795
2024-08-21 00:00:00.000,cetus,375,32,11809560016,16754290999,10,9,11.71875,-0.418706
2024-08-21 00:00:00.000,auxexchange,348,150,9250345198147,2833910944422,12,11,2.32,0.693643
2024-08-21 00:00:00.000,animeswap,313,122,1336241627068,8838460452252,16,17,2.565574,-5.614418
2024-08-21 00:00:00.000,batswap,140,22,2189250362882538,142337821565804,11,8,6.363636,0.934983
2024-08-20 00:00:00.000,thala,32322,13641,635521311717080,613616371931131,18,15,2.369474,0.034468
2024-08-20 00:00:00.000,cellana,25799,2601,7658745079774044,7583670558229854,17,17,9.918877,0.009802
2024-08-20 00:00:00.000,liquidswap,18384,1983,176491186873572670,158024066896201280,53,60,9.270802,0.104635
2024-08-20 00:00:00.000,pancake,5489,989,2580452518038555,1901385315106819,43,40,5.550051,0.263158
2024-08-20 00:00:00.000,hippo,4064,324,920768124538998,1705514991164364,33,31,12.54321,-0.852274
2024-08-20 00:00:00.000,sushi,1572,248,4134670186361,4166817948641,11,11,6.33871,-0.007775
2024-08-20 00:00:00.000,cetus,373,36,13665218583,14278452338,10,10,10.361111,-0.044876
2024-08-20 00:00:00.000,animeswap,367,183,2921962227908,7627703125241,16,19,2.005464,-1.610473
2024-08-20 00:00:00.000,auxexchange,349,157,333241015709,984811446116,13,12,2.22293,-1.955253
2024-08-20 00:00:00.000,batswap,122,34,1821372551178252,411124527616742,12,11,3.588235,0.774278
2024-08-19 00:00:00.000,thala,32838,13617,624130005986655,607985249593001,16,16,2.411544,0.025868
2024-08-19 00:00:00.000,cellana,31568,2629,5617516689464991,5521905998251783,17,18,12.007607,0.01702
2024-08-19 00:00:00.000,liquidswap,19127,1805,161792154461909660,208647145220712800,49,58,10.596676,-0.2896
2024-08-19 00:00:00.000,pancake,6305,973,12984846125886696,2884676416479832,40,40,6.479959,0.777843
2024-08-19 00:00:00.000,hippo,4950,359,6595172583973484,9978266890368164,33,30,13.788301,-0.512965
2024-08-19 00:00:00.000,sushi,1829,177,5645846144046,6506097000151,10,8,10.333333,-0.152369
2024-08-19 00:00:00.000,cetus,490,37,16241067787,21216365999,10,8,13.243243,-0.306341
2024-08-19 00:00:00.000,auxexchange,466,182,10187330967019,3728095343387,12,12,2.56044,0.634046
2024-08-19 00:00:00.000,animeswap,373,168,6563410626347,641374486136,17,17,2.220238,0.90228
2024-08-19 00:00:00.000,batswap,290,17,389252353322435,390923329530562,11,10,17.058824,-0.004293
2024-08-18 00:00:00.000,cellana,22455,2152,6319965952480815,6538386817228834,17,16,10.43448,-0.03456
2024-08-18 00:00:00.000,thala,16415,532,874872209809818,786547965083363,20,17,30.855263,0.100957
2024-08-18 00:00:00.000,liquidswap,10959,1569,133472910793828560,130048897656270820,50,57,6.984704,0.025653
2024-08-18 00:00:00.000,pancake,4405,836,1957678659526345,1657459869528775,41,40,5.269139,0.153354
2024-08-18 00:00:00.000,hippo,3562,250,2026435369421504,1379879264718296,34,30,14.248,0.319061
2024-08-18 00:00:00.000,sushi,1433,287,2269285965389,2094445702003,6,12,4.993031,0.077046
2024-08-18 00:00:00.000,cetus,229,15,9113726690,8191940296,8,9,15.266667,0.101143
2024-08-18 00:00:00.000,auxexchange,185,79,57513536680,4068062154,10,11,2.341772,0.929268
2024-08-18 00:00:00.000,animeswap,153,96,8189849442693,298306820491,19,15,1.59375,0.963576
2024-08-18 00:00:00.000,batswap,49,20,597176991276920,326550763020154,10,9,2.45,0.453176
2024-08-17 00:00:00.000,cellana,21804,1973,7848361516579324,7834620614327337,16,17,11.051191,0.001751
2024-08-17 00:00:00.000,thala,15592,504,581767751518021,570678448944431,18,17,30.936508,0.019061
2024-08-17 00:00:00.000,liquidswap,9947,1500,148084033102179520,125085017604104510,45,49,6.631333,0.155311
2024-08-17 00:00:00.000,pancake,4886,773,4496442133705408,2037233712620535,39,39,6.320828,0.546923
2024-08-17 00:00:00.000,hippo,3557,285,942243546471123,544588456710171,34,28,12.480702,0.42203
2024-08-17 00:00:00.000,sushi,1340,366,1751830323342,1352706925715,5,9,3.661202,0.227832
2024-08-17 00:00:00.000,cetus,200,17,7923368869,5521055440,8,7,11.764706,0.303193
2024-08-17 00:00:00.000,auxexchange,169,93,1076775568419,2313401818828,10,13,1.817204,-1.148453
2024-08-17 00:00:00.000,animeswap,142,80,259829523027,247778761555,12,17,1.775,0.046379
2024-08-17 00:00:00.000,batswap,82,28,1205035587696538,464174336126563,9,13,2.928571,0.614804
2024-08-16 00:00:00.000,cellana,24285,2181,5580642983496213,5694139297003925,17,17,11.134801,-0.020337
2024-08-16 00:00:00.000,thala,21658,932,1853610071914937,1545597598700265,18,19,23.238197,0.166169
2024-08-16 00:00:00.000,liquidswap,20211,3493,205519149145700300,228553880386897920,47,53,5.786144,-0.112081
2024-08-16 00:00:00.000,pancake,5953,897,8117346941165224,4442010614066495,41,37,6.636566,0.452776
2024-08-16 00:00:00.000,hippo,4095,341,691618536371620,4210990604459077,37,34,12.008798,-5.088603
2024-08-16 00:00:00.000,sushi,2080,275,5700622632345,4764366092140,8,11,7.563636,0.164238
2024-08-16 00:00:00.000,cetus,420,44,19610671256,14095030291,10,10,9.545455,0.281257
